Type,Code,Value,Comment
Reload,5008,AJAX is disabled. / Ajax disabled,Not used right now. Connected to old AJAX in classic server
Reload,5009,No usage token available for the user of this session. / No user license available for the user of this session,"License check on OpenDoc on classic server, if Server can't allocate token for session user."
Reload,5010,Only AJAX clients supported with this license.,"License check on OpenDoc on classic server, C++ clients denied access."
Reload,6000,Invalid hypercube object. / Invalid hypercube object,Problems with validation inside of the hypercube
Reload,6001,The hypercube results are too large. / Result too large,"Problems with validation inside of the hypercube and the resulting pages are too large, i.e. over 10000 results"
Reload,6002,Invalid hypercube object state. / Invalid hypercube object state,"Problems with validation inside of the hypercube, no validation data exist for the specified object"
Reload,6003,Not currently possible to perform the requested operation. / Function not allowed on this object in app modal mode,Thrown from hypercube when an operation is not allowed on an object because we are in modal mode for the application
Reload,7000,All expressions are disabled / All expressions disabled,Calculation error
Reload,7001,Dimension or measure not in library / Dimension or measure not in library,Calculation error
Reload,7002,Out of calculation memory / Out of object memory,Calculation error
Reload,7003,Calculation set is too large / Too many cells,Calculation error
Reload,7004,Calculation timed out / Calculation timed out,Calculation error
Reload,7005,The calculation condition is not fulfilled / Calculation condition unfulfilled,Displayed on visualization that has not fulfilled its calculation condition
Reload,7006,Mixed DBMS and in-memory aggregation is not supported / Mixed DBMS and in-memory aggregation is not supported,Calculation error; DBMS stands for database management system
Reload,7007,Direct query attempted against missing or non-direct table / Direct query attempted against missing or non-direct table,Calculation error
Reload,7008,Invalid sort order in properties / Invalid properties sort order,"Calculation error, wrong sort order"
Reload,7009,The calculation page is too large. Reduce the number of cells and try again. / Calculation pages too large,"Calculation error, result too large"
Reload,7010,Semantic fields are not allowed in calculation / Semantic fields not allowed in calculation,"Calculation error, semantic fields were used"
Reload,7011,The calculation of the object could not be performed successfully. Try refreshing the app. / The object is not in a valid data state,"The object should have been validated, but it is invalid."
Reload,7012,The dimension is already in use. / The pivot dimensions already exist,
Reload,7013,An object is referring to a Direct Discovery field that does not exist. Please update the definition of the object or add the missing field in the Direct Discovery table. / A direct table field is missing,"Do not translate ""Direct Discovery"""
Reload,7014,A calculation condition is not met. The dimension has been excluded from calculation. / A calculation condition stopped the calculation,
Reload,8000,Invalid identifier for the linked object / Invalid extends id for properties,Error on GetLayout the objects properties extends an invalid id
Reload,8001,Linked object not found on layout / Linked object not found on layout,Error on GetLayout and a linked object to the object is not found among the objects in the app
Reload,8002,Invalid linked object / Invalid linked object,Error on GetLayout and a linked object to the object is invalid
Reload,9000,The object could not be saved. / Write Failed,Something went wrong while persisting an object
Reload,9001,The object could not be read. / Read Failed,Something went wrong while reading a persisted object
Reload,9002,The object could not be deleted. / Delete Failed,Something went wrong while deleting persisted object
Reload,9003,The object could not be found. / Resource not found,Failed to find a specific ID related to persistance of objects
Reload,9004,"You are using Qlik Sense Desktop instead of Qlik Sense, or you are using the wrong version of Qlik Sense. / Unsupported version",Sent out when client tries to do an unsupported action related to persistance. The user is performing an action on Qlik Sense Desktop that requires the full product. Or the user is doing something that is not supported in the current version .
Reload,9005,The app migration failed because the app is write-protected. / Migration failed since the file was write protected,Showed in Qlik Sense when the app needs upgrade and the file on disk is write-protected.
Reload,9006,The app migration was cancelled. Open the app again to migrate it. / Migration was aborted,Showed in Qlik Sense when the app migration was cancelled
Reload,9007,The app migration could not back up the app. The app migration is cancelled. / Backup of original file failed when migrating,Showed in Qlik Sense when the app migration failed to backup. The migration is cancelled.
Reload,9008,Insufficient disk space for operation / The disk is out of space,Showed in Qlik Sense when disk space has run out.
Reload,9009,You are trying to use a method that is not supported in session apps / Unknown error,"Showed in Qlik Sense when a method that is not supported, is called on a session app"
Reload,9510,Invalid parameter sent from the repository in the binary sync protocol / Invalid parameters to SetChunk,Do not translate. Related to Set Chunk. This error code is only used internally
Reload,9511,Invalid parameter sent from the repository in the binary sync protocol / Invalid parameters to GetChunk,Do not translate. Related to Get Chunk. This error code is only used internally
Reload,10000,You do not have access to the data source. / Data source access denied,Access rights problems on create new ODBC/OLEDB connection
